"","db","query","kingdom","phylum","class","order","family","genus","species","community"
"123","ncbi","Pseudoophonus rufipes","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus rufipes","macrofauna_surface"
"124","ncbi","Tachyporinae","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","unassigned","unassigned","macrofauna_surface"
"125","ncbi","Harpalus atratus","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus atratus","macrofauna_surface"
"126","ncbi","Armadillidium arcangelii","Metazoa","Arthropoda","Malacostraca","Isopoda","Armadillidiidae","Armadillidium","Armadillidium arcangelii","macrofauna_surface"
"127","ncbi","Drasterius","Metazoa","Arthropoda","Insecta","Coleoptera","Elateridae","Drasterius","unassigned","macrofauna_surface"
"128","ncbi","Omophlus","Metazoa","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Omophlus","unassigned","macrofauna_surface"
"129","ncbi","Trechus quadristriatus","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Trechus","Trechus quadristriatus","macrofauna_surface"
"130","ncbi","Amara montivaga","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Amara","Amara montivaga","macrofauna_surface"
"131","ncbi","Dermestes","Metazoa","Arthropoda","Insecta","Coleoptera","Dermestidae","Dermestes","unassigned","macrofauna_surface"
"132","ncbi","Cryptocephalinae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","unassigned","unassigned","macrofauna_surface"
"133","ncbi","Athetini","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","unassigned","unassigned","macrofauna_surface"
"134","ncbi","Aleochara","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Aleochara","unassigned","macrofauna_surface"
"135","ncbi","Pezotettix giornae","Metazoa","Arthropoda","Insecta","Orthoptera","Acrididae","Pezotettix","Pezotettix giornae","macrofauna_surface"
"136","ncbi","Diplopoda","Metazoa","Arthropoda","Diplopoda","unassigned","unassigned","unassigned","unassigned","macrofauna_surface"
"137","ncbi","Messor structor","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Messor","Messor structor","macrofauna_surface"
"138","ncbi","Pseudoscorpiones","Metazoa","Arthropoda","Arachnida","Pseudoscorpiones","unassigned","unassigned","unassigned","macrofauna_surface"
"139","ncbi","Entelegynae","Metazoa","Arthropoda","Arachnida","Araneae","unassigned","unassigned","unassigned","macrofauna_surface"
"140","ncbi","Camponotus","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","unassigned","macrofauna_surface"
"141","ncbi","Pachytychius","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","Pachytychius","unassigned","macrofauna_surface"
"142","ncbi","Macrosiphini","Metazoa","Arthropoda","Insecta","Hemiptera","Aphididae","unassigned","unassigned","macrofauna_surface"
"143","ncbi","Malvaevora","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","Malvaevora","unassigned","macrofauna_surface"
"144","ncbi","Loboptera canariensis","Metazoa","Arthropoda","Insecta","Blattodea","Blattellidae","Loboptera","Loboptera canariensis","macrofauna_surface"
"145","ncbi","Stelidota geminata","Metazoa","Arthropoda","Insecta","Coleoptera","Nitidulidae","Stelidota","Stelidota geminata","macrofauna_surface"
"146","ncbi","Ophonus cribricollis","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Ophonus","Ophonus cribricollis","macrofauna_surface"
"147","ncbi","Plinthisus","Metazoa","Arthropoda","Insecta","Hemiptera","Rhyparochromidae","Plinthisus","unassigned","macrofauna_surface"
"148","ncbi","Zyras","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Zyras","unassigned","macrofauna_surface"
"149","ncbi","Entiminae","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","unassigned","unassigned","macrofauna_surface"
"150","ncbi","Kalama tricornis","Metazoa","Arthropoda","Insecta","Hemiptera","Tingidae","Kalama","Kalama tricornis","macrofauna_surface"
"151","ncbi","Xantholinini","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","unassigned","unassigned","macrofauna_surface"
"152","ncbi","Tachys bistriatus","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Paratachys","Paratachys bistriatus","macrofauna_surface"
"153","ncbi","Lycosoidea","Metazoa","Arthropoda","Arachnida","Araneae","unassigned","unassigned","unassigned","macrofauna_surface"
"154","ncbi","Epuraea","Metazoa","Arthropoda","Insecta","Coleoptera","Nitidulidae","Epuraea","unassigned","macrofauna_surface"
"155","ncbi","Berytidae","Metazoa","Arthropoda","Insecta","Hemiptera","Berytidae","unassigned","unassigned","macrofauna_surface"
"156","ncbi","Lucasius pallidus","Metazoa","Arthropoda","Malacostraca","Isopoda","Porcellionidae","Lucasius","Lucasius pallidus","macrofauna_surface"
"157","ncbi","Camponotus piceus","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus piceus","macrofauna_surface"
"158","ncbi","Basalys","Metazoa","Arthropoda","Insecta","Hymenoptera","Diapriidae","Basalys","unassigned","macrofauna_surface"
"159","ncbi","Myrmicinae","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","unassigned","unassigned","macrofauna_surface"
"160","ncbi","Ocypus","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Ocypus","unassigned","macrofauna_surface"
"161","ncbi","Pezotettix","Metazoa","Arthropoda","Insecta","Orthoptera","Acrididae","Pezotettix","unassigned","macrofauna_surface"
"162","ncbi","Pheidole","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","unassigned","macrofauna_surface"
"163","ncbi","Runcinia grammica","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Runcinia","Runcinia grammica","macrofauna_surface"
