"finest_name","kingdom","phylum","class","order","family","genus","species","community"
"Arenocoris waltlii","Metazoa","Arthropoda","Insecta","Hemiptera","Coreidae","Arenocoris","Arenocoris waltlii","macrofauna_aerial"
"Asaphes","Metazoa","Arthropoda","Insecta","Hymenoptera","Pteromalidae","Asaphes","unassigned","macrofauna_aerial"
"Athalia","Metazoa","Arthropoda","Insecta","Hymenoptera","Athaliidae","Athalia","unassigned","macrofauna_aerial"
"Athalia bicolor","Metazoa","Arthropoda","Insecta","Hymenoptera","Athaliidae","Athalia","Athalia bicolor","macrofauna_aerial"
"Atomaria","Metazoa","Arthropoda","Insecta","Coleoptera","Cryptophagidae","Atomaria","unassigned","macrofauna_aerial"
"Aulacobaris","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","Aulacobaris","unassigned","macrofauna_aerial"
"Auplopus carbonarius","Metazoa","Arthropoda","Insecta","Hymenoptera","Pompilidae","Auplopus","Auplopus carbonarius","macrofauna_aerial"
"Basalys","Metazoa","Arthropoda","Insecta","Hymenoptera","Diapriidae","Basalys","unassigned","macrofauna_aerial"
"Belyta","Metazoa","Arthropoda","Insecta","Hymenoptera","Diapriidae","Belyta","unassigned","macrofauna_aerial"
"Belytinae","Metazoa","Arthropoda","Insecta","Hymenoptera","Diapriidae","unassigned","unassigned","macrofauna_aerial"
"Bethylidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Bethylidae","unassigned","unassigned","macrofauna_aerial"
