queryName;queryId;matchName;matchId;interactionId;interactionName;resourceId;resourceName;reference;graph
Qudsianematidae;NA;Ecumenicus;"c(""NCBITaxon:211288"", ""NCBI:211288"", ""https://tree.opentreeoflife.org/opentree/ottol@579888"", ""GBIF:4405791"")";RO:0002470;eats;NCBI:3041;Chlorophyta;NA;gratin:hedde_misc1
Qudsianematidae;NA;Ecumenicus;"c(""NCBITaxon:211288"", ""NCBI:211288"", ""https://tree.opentreeoflife.org/opentree/ottol@579888"", ""GBIF:4405791"")";RO:0002470;eats;NCBI:6231;Nematoda;NA;gratin:hedde_misc1
Qudsianematidae;NA;Ecumenicus;"c(""NCBITaxon:211288"", ""NCBI:211288"", ""https://tree.opentreeoflife.org/opentree/ottol@579888"", ""GBIF:4405791"")";RO:0002470;eats;NCBI:3208;Bryophyta;NA;gratin:hedde_misc1
Qudsianematidae;NA;Ecumenicus;"c(""NCBITaxon:211288"", ""NCBI:211288"", ""https://tree.opentreeoflife.org/opentree/ottol@579888"", ""GBIF:4405791"")";RO:0002470;eats;NCBI:6388;Enchytraeidae;NA;gratin:hedde_misc1
Qudsianematidae;NA;Ecumenicus;"c(""NCBITaxon:211288"", ""NCBI:211288"", ""https://tree.opentreeoflife.org/opentree/ottol@579888"", ""GBIF:4405791"")";RO:0002470;eats;NCBI:10190;Rotifera;NA;gratin:hedde_misc1
Qudsianematidae;NA;Ecumenicus;"c(""NCBITaxon:211288"", ""NCBI:211288"", ""https://tree.opentreeoflife.org/opentree/ottol@579888"", ""GBIF:4405791"")";RO:0002470;eats;NCBI:2157;Archaea;NA;gratin:hedde_misc1
Qudsianematidae;NA;Ecumenicus;"c(""NCBITaxon:211288"", ""NCBI:211288"", ""https://tree.opentreeoflife.org/opentree/ottol@579888"", ""GBIF:4405791"")";RO:0002470;eats;NCBI:58023;Tracheophyta;NA;gratin:hedde_misc1
Qudsianematidae;NA;Ecumenicus;"c(""NCBITaxon:211288"", ""NCBI:211288"", ""https://tree.opentreeoflife.org/opentree/ottol@579888"", ""GBIF:4405791"")";RO:0002470;eats;NCBI:2;Bacteria;NA;gratin:hedde_misc1
Qudsianematidae;NA;Labronemella;"c(""NCBITaxon:211292"", ""NCBI:211292"", ""GBIF:4404633"", ""https://tree.opentreeoflife.org/opentree/ottol@7164"")";RO:0002470;eats;GBIF:35;Bryophyta;NA;gratin:nematrait
Qudsianematidae;NA;Labronemella;"c(""NCBITaxon:211292"", ""NCBI:211292"", ""GBIF:4404633"", ""https://tree.opentreeoflife.org/opentree/ottol@7164"")";RO:0002470;eats;GBIF:98;Ochrophyta;NA;gratin:nematrait
Qudsianematidae;NA;Labronemella;"c(""NCBITaxon:211292"", ""NCBI:211292"", ""GBIF:4404633"", ""https://tree.opentreeoflife.org/opentree/ottol@7164"")";RO:0002470;eats;GBIF:70;Haptophyta;NA;gratin:nematrait
Qudsianematidae;NA;Labronemella;"c(""NCBITaxon:211292"", ""NCBI:211292"", ""GBIF:4404633"", ""https://tree.opentreeoflife.org/opentree/ottol@7164"")";RO:0002470;eats;GBIF:68;Cyanobacteria;NA;gratin:nematrait
Qudsianematidae;NA;Labronemella;"c(""NCBITaxon:211292"", ""NCBI:211292"", ""GBIF:4404633"", ""https://tree.opentreeoflife.org/opentree/ottol@7164"")";RO:0002470;eats;GBIF:36;Chlorophyta;NA;gratin:nematrait
Qudsianematidae;NA;Labronemella;"c(""NCBITaxon:211292"", ""NCBI:211292"", ""GBIF:4404633"", ""https://tree.opentreeoflife.org/opentree/ottol@7164"")";RO:0002470;eats;GBIF:4;Chromista;NA;gratin:nematrait
Qudsianematidae;NA;Labronemella;"c(""NCBITaxon:211292"", ""NCBI:211292"", ""GBIF:4404633"", ""https://tree.opentreeoflife.org/opentree/ottol@7164"")";RO:0002470;eats;GBIF:7;Protozoa;NA;gratin:nematrait
Qudsianematidae;NA;Labronemella;"c(""NCBITaxon:211292"", ""NCBI:211292"", ""GBIF:4404633"", ""https://tree.opentreeoflife.org/opentree/ottol@7164"")";RO:0002470;eats;GBIF:5;Fungi;NA;gratin:nematrait
Qudsianematidae;NA;Labronemella;"c(""NCBITaxon:211292"", ""NCBI:211292"", ""GBIF:4404633"", ""https://tree.opentreeoflife.org/opentree/ottol@7164"")";RO:0002470;eats;GBIF:3565;Enchytraeidae;NA;gratin:nematrait
